shot_id,match_id,competition,season,team,player,period,game_time,location_x,location_y,distance_to_goal_m,shot_angle_deg,y_from_center,body_part,free_kick_type,player_fk_attempts,xg,is_goal
8f18b6a1b71143505aad3d143f6704b8,3890318,1. Bundesliga,2015-2016,VfB Stuttgart,Alexandru Maxim,2,73 min 51 sec,92.8,32.9,28.11,15.7,7.1,Right Foot,direct,7,0.0553,0
9eb4c151b46b635816d68ac5e0ae84eb,3890319,1. Bundesliga,2015-2016,Hannover 96,Hiroshi Kiyotake,1,28 min 21 sec,99.5,26.7,24.44,15.76,13.3,Right Foot,direct,5,0.0673,0
c79eae1c2c94525001e62ee6ddbeccb4,3890320,1. Bundesliga,2015-2016,Hertha Berlin,Alexander Baumjohann,2,86 min 33 sec,108.9,13.7,28.55,6.34,26.3,Right Foot,direct,1,0.0075,0
e943b01403218182a2e21fd718da2387,3890324,1. Bundesliga,2015-2016,Hamburger SV,Lewis Holtby,2,61 min 8 sec,88.9,47.9,32.09,13.79,7.9,Left Foot,direct,1,0.0283,0
20e86188625fb6af7bccf2c95acd6eb2,3890327,1. Bundesliga,2015-2016,Hoffenheim,Jonathan Schmid,2,73 min 15 sec,105.1,16.1,28.16,8.72,23.9,Right Foot,direct,5,0.0087,0
4f74686beab4a509b9365bb2fcac6330,3890328,1. Bundesliga,2015-2016,Schalke 04,Johannes Geis,2,49 min 59 sec,89.9,28.0,32.4,13.11,12.0,Right Foot,direct,23,0.024,0
8d7afcb9651efc0f6748ca7d8230b6fc,3890328,1. Bundesliga,2015-2016,Schalke 04,Johannes Geis,2,72 min 18 sec,91.7,45.7,28.87,15.48,5.7,Right Foot,direct,23,0.0476,0
6141681629d7da87ffbc386838a363c8,3890328,1. Bundesliga,2015-2016,Schalke 04,Johannes Geis,1,42 min 1 sec,84.6,30.9,36.55,12.11,9.1,Right Foot,direct,23,0.0079,0
dcddc3fc7a30143e3a6851441aa8cdfd,3890329,1. Bundesliga,2015-2016,Borussia Dortmund,Adnan Januzaj,2,78 min 42 sec,100.8,48.1,20.84,20.17,8.1,Left Foot,direct,1,0.0827,0
29378d135e43b15f32a05c4fd218f813,3890329,1. Bundesliga,2015-2016,Borussia Dortmund,Marco Reus,2,75 min 7 sec,95.6,32.8,25.44,17.18,7.2,Right Foot,direct,7,0.0793,0
ef48ec508707b7bf75c2165fe138ed35,3890329,1. Bundesliga,2015-2016,Borussia Dortmund,İlkay Gündoğan,1,4 min 24 sec,94.8,30.1,27.07,15.7,9.9,Right Foot,direct,8,0.0608,0
4b3ee750fbe436e8a4bf8c3d3cebd5dc,3890330,1. Bundesliga,2015-2016,Bayer Leverkusen,Hakan Çalhanoğlu,2,72 min 42 sec,90.1,47.0,30.71,14.47,7.0,Right Foot,direct,33,0.0326,0
57411690b7a45691184ead7aa82a1a4e,3890330,1. Bundesliga,2015-2016,Bayer Leverkusen,Hakan Çalhanoğlu,1,30 min 29 sec,93.6,28.7,28.72,14.64,11.3,Right Foot,direct,33,0.0444,0
500077365e47ec56f758ae71ea609725,3890331,1. Bundesliga,2015-2016,FSV Mainz 05,Phillipp Klement,2,70 min 38 sec,98.1,35.1,22.44,19.76,4.9,Left Foot,direct,1,0.0831,0
8bbc74b622e00b6867519de80fac3384,3890331,1. Bundesliga,2015-2016,FSV Mainz 05,Jairo Samperio,1,32 min 35 sec,97.7,41.8,22.37,20.21,1.8,Right Foot,direct,2,0.0815,0
1d0d5cd9066ce68831587339fe8554b0,3890331,1. Bundesliga,2015-2016,FSV Mainz 05,Pierre Bengtsson,1,10 min 48 sec,99.5,49.3,22.51,18.48,9.3,Left Foot,direct,2,0.0779,0
5d2ea6c8d0a9b7de6d565a5b23edca88,3890332,1. Bundesliga,2015-2016,Bayern Munich,Xabi Alonso,1,3 min 8 sec,91.0,36.0,29.27,15.42,4.0,Right Foot,direct,4,0.0432,0
0ec8559c0dd39fe32441c7c8cbd5f8e9,3890332,1. Bundesliga,2015-2016,Werder Bremen,Zlatko Junuzović,1,43 min 10 sec,101.4,21.9,25.95,12.75,18.1,Right Foot,direct,13,0.0303,0
5dac1350c8087ae07170bf0fe901264a,3890333,1. Bundesliga,2015-2016,Augsburg,Piotr Trochowski,2,85 min 0 sec,92.8,44.6,27.59,16.28,4.6,Right Foot,direct,3,0.0589,0
54e2ae6d0fa73143e4f9cb76ac05f9cb,3890333,1. Bundesliga,2015-2016,Augsburg,Piotr Trochowski,2,81 min 41 sec,84.1,32.4,36.7,12.18,7.6,Right Foot,direct,3,0.0082,0
778bfd7cb4d7427c8124c01d86443308,3890333,1. Bundesliga,2015-2016,Augsburg,Alexander Esswein,1,18 min 40 sec,87.4,38.9,32.62,13.97,1.1,Right Foot,direct,5,0.0257,0
b58ecd91a15ed4a6acd8db873ebce34c,3890334,1. Bundesliga,2015-2016,Eintracht Frankfurt,Marc Stendera,1,2 min 55 sec,90.4,32.6,30.51,14.51,7.4,Right Foot,direct,3,0.0379,0
9225a0b47df479519887cfb49ba48f66,3890334,1. Bundesliga,2015-2016,Eintracht Frankfurt,Alexander Meier,1,26 min 36 sec,91.9,51.6,30.4,13.9,11.6,Right Foot,direct,2,0.0359,0
4bcc4838c598fb02f338e846e7c997ab,3890336,1. Bundesliga,2015-2016,Schalke 04,Johannes Geis,2,60 min 14 sec,99.8,23.9,25.83,13.94,16.1,Right Foot,direct,23,0.0504,0
11f323dcd3c003612ab5d51d1fe88af5,3890336,1. Bundesliga,2015-2016,Schalke 04,Dennis Aogo,2,77 min 19 sec,99.1,54.4,25.38,14.9,14.4,Left Foot,direct,2,0.0534,0
10850e47e574b3ea65159cf0819ebce7,3890337,1. Bundesliga,2015-2016,Bayer Leverkusen,Hakan Çalhanoğlu,2,77 min 20 sec,81.8,38.2,38.24,11.93,1.8,Right Foot,direct,33,0.0074,0
9cc0a2655df8a1e01553bb353e8d0e93,3890338,1. Bundesliga,2015-2016,Ingolstadt,Pascal Groß,2,90 min 10 sec,102.9,12.4,32.47,7.51,27.6,Right Foot,direct,11,0.0079,0
a46f463636bc65933f7f5c8e4a1d1def,3890338,1. Bundesliga,2015-2016,Ingolstadt,Pascal Groß,2,89 min 28 sec,116.1,15.7,24.61,3.03,24.3,Right Foot,direct,11,0.0055,0
dee6f47282885287254e5fc7e73ecb30,3890339,1. Bundesliga,2015-2016,FC Köln,Miloš Jojić,2,67 min 18 sec,92.7,35.2,27.72,16.19,4.8,Right Foot,direct,3,0.0614,0
89cc99b83585a0bee453e23cee327e1b,3890340,1. Bundesliga,2015-2016,Hoffenheim,Jonathan Schmid,1,30 min 33 sec,87.0,36.0,33.24,13.63,4.0,Right Foot,direct,5,0.0244,0
d06aebeef27f97d967c4ffcc04499241,3890340,1. Bundesliga,2015-2016,Hamburger SV,Michael Gregoritsch,1,22 min 1 sec,90.7,55.8,33.29,12.11,15.8,Left Foot,direct,11,0.0073,0
69e042e437bcb98efd5202978b34c664,3890340,1. Bundesliga,2015-2016,Hamburger SV,Marcelo Díaz,2,68 min 28 sec,100.6,21.7,26.67,12.58,18.3,Right Foot,direct,4,0.0198,0
151e7bfd8c196b62625e766ba33c54c4,3890345,1. Bundesliga,2015-2016,Hannover 96,Hiroshi Kiyotake,1,31 min 43 sec,91.3,30.4,30.26,14.31,9.6,Right Foot,direct,5,0.0399,0
dbeaf0a3f2c6589667bef66d1eb02ae6,3890346,1. Bundesliga,2015-2016,VfB Stuttgart,Daniel Didavi,1,34 min 50 sec,89.7,38.3,30.35,14.99,1.7,Left Foot,direct,20,0.0334,0
7a7e57dfdae9e5bcbfff62993ec1d1a5,3890346,1. Bundesliga,2015-2016,Bayer Leverkusen,Hakan Çalhanoğlu,2,80 min 17 sec,96.6,41.1,23.43,19.36,1.1,Right Foot,direct,33,0.0759,0
3c109b675ad0c366212bfe204d21e2ff,3890348,1. Bundesliga,2015-2016,Schalke 04,Johannes Geis,1,10 min 13 sec,90.1,22.7,34.54,11.48,17.3,Right Foot,direct,23,0.0082,0
a9cd14abdccd5350ec6aa281793141c1,3890348,1. Bundesliga,2015-2016,Borussia Mönchengladbach,Raffael,2,69 min 39 sec,100.7,26.6,23.5,16.07,13.4,Right Foot,direct,8,0.0654,1
f40b296603aeb93c57e3b4a222bd0ef9,3890350,1. Bundesliga,2015-2016,Bayer Leverkusen,Wendell,2,83 min 8 sec,93.4,52.6,29.43,14.05,12.6,Left Foot,direct,2,0.042,0
0d6e6f3e64343399d916ffcacd9640dd,3890350,1. Bundesliga,2015-2016,Wolfsburg,Ricardo Rodríguez,1,44 min 54 sec,100.6,57.9,26.4,12.84,17.9,Left Foot,direct,7,0.0318,0
0ba342da3e62abf027fcd7ba9fcb0f70,3890352,1. Bundesliga,2015-2016,Hoffenheim,Jonathan Schmid,2,74 min 27 sec,97.8,34.5,22.87,19.3,5.5,Right Foot,direct,5,0.0766,0
c5b70fa687edae60629f5177bbf4f522,3890353,1. Bundesliga,2015-2016,Werder Bremen,Zlatko Junuzović,1,15 min 8 sec,108.0,12.9,29.64,6.35,27.1,Right Foot,direct,13,0.0068,0
95bc9cb71bb373ca6582f854f65e1ee7,3890354,1. Bundesliga,2015-2016,Augsburg,Raúl Bobadilla,1,47 min 36 sec,91.9,29.9,29.86,14.4,10.1,Right Foot,direct,7,0.0356,0
9a52a93befeb0eccddcd459fea65bc2d,3890354,1. Bundesliga,2015-2016,Augsburg,Hong Jeong-Ho,1,36 min 47 sec,87.7,40.9,32.31,14.11,0.9,Right Foot,direct,3,0.0263,0
705d4bfacfc9d838200aaf446feab7ff,3890354,1. Bundesliga,2015-2016,Augsburg,Raúl Bobadilla,2,48 min 0 sec,97.3,36.4,22.98,19.52,3.6,Right Foot,direct,7,0.0805,0
27640ab6ba2bd9fda188c6f7816c594e,3890356,1. Bundesliga,2015-2016,Hamburger SV,Marcelo Díaz,1,26 min 6 sec,97.6,38.5,22.45,20.16,1.5,Right Foot,direct,4,0.0792,0
be31e4b4ccc2031373925b7b87e072a9,3890357,1. Bundesliga,2015-2016,VfB Stuttgart,Alexandru Maxim,2,67 min 12 sec,91.8,23.9,32.47,12.26,16.1,Right Foot,direct,7,0.0096,0
3029ea4e845a07e79cdb3263fb91d7fe,3890357,1. Bundesliga,2015-2016,VfB Stuttgart,Daniel Didavi,1,39 min 11 sec,97.8,55.7,27.19,13.8,15.7,Left Foot,direct,20,0.0475,0
ffa5146784413b0eca9ed9bb8adff569,3890358,1. Bundesliga,2015-2016,Hertha Berlin,Marvin Plattenhardt,1,39 min 23 sec,91.1,42.0,28.97,15.69,2.0,Left Foot,direct,8,0.044,0
54b5c6b565f14c85f9532449ee56c948,3890359,1. Bundesliga,2015-2016,FC Köln,Marcel Risse,2,53 min 49 sec,95.0,31.6,26.37,16.4,8.4,Right Foot,direct,13,0.0599,0
e247dde24a7beb5faee70cef7532b054,3890359,1. Bundesliga,2015-2016,Bayer Leverkusen,Hakan Çalhanoğlu,2,87 min 58 sec,94.1,24.8,30.03,13.16,15.2,Right Foot,direct,33,0.0365,0
446adb14c732531b8a57566bf2c102d1,3890360,1. Bundesliga,2015-2016,Darmstadt 98,Konstantin Rausch,1,15 min 56 sec,94.3,22.4,31.15,12.16,17.6,Left Foot,direct,11,0.011,0
d2aad49e495648f5115e93cc8589db3c,3890360,1. Bundesliga,2015-2016,Darmstadt 98,Konstantin Rausch,1,4 min 54 sec,98.8,24.2,26.44,13.94,15.8,Left Foot,direct,11,0.0466,0
f2c06dbc54a2cb94427ab5ad3c2aabd2,3890361,1. Bundesliga,2015-2016,FSV Mainz 05,Danny Latza,1,35 min 23 sec,86.4,41.9,33.65,13.54,1.9,Right Foot,direct,4,0.0219,0
58b15f933ad8b85ffb22eac3c53cb4a0,3890361,1. Bundesliga,2015-2016,Wolfsburg,Naldo,1,17 min 14 sec,95.3,46.8,25.62,17.15,6.8,Right Foot,direct,4,0.071,0
279ed4b77a04ce67106feb83b31cd77c,3890361,1. Bundesliga,2015-2016,FSV Mainz 05,Pablo de Blasis,1,22 min 26 sec,87.4,28.3,34.64,12.43,11.7,Right Foot,direct,2,0.0068,0
06c973a50c1a03623621ca33810a6e49,3890362,1. Bundesliga,2015-2016,Eintracht Frankfurt,Marc Stendera,2,72 min 56 sec,115.7,8.8,31.49,2.02,31.2,Right Foot,direct,3,0.0073,0
2be7fb3adacd0d19a7288fffe98fa49b,3890364,1. Bundesliga,2015-2016,Bayern Munich,Arturo Vidal,2,81 min 53 sec,96.9,25.2,27.43,14.08,14.8,Right Foot,direct,2,0.0426,0
c67eaff7e6e0769eea29ef105a232bf4,3890365,1. Bundesliga,2015-2016,Borussia Dortmund,İlkay Gündoğan,2,46 min 20 sec,114.2,16.1,24.59,4.51,23.9,Right Foot,direct,8,0.0082,0
b497dc15b9dc8dd69b79acd2095d5fe2,3890366,1. Bundesliga,2015-2016,Augsburg,Philipp Max,1,34 min 19 sec,99.5,63.9,31.49,9.54,23.9,Left Foot,direct,3,0.0085,0
6556189e53eeb442122cbe05f556a4fc,3890366,1. Bundesliga,2015-2016,Augsburg,Alexander Esswein,2,75 min 59 sec,87.9,35.2,32.46,13.9,4.8,Right Foot,direct,5,0.0284,0
0bd7d0b3e36d8e0ef315355b61a50b09,3890366,1. Bundesliga,2015-2016,Werder Bremen,Zlatko Junuzović,1,3 min 27 sec,98.9,19.2,29.63,11.08,20.8,Right Foot,direct,13,0.0109,0
68605ea2b0548164e66c30dbd3737910,3890367,1. Bundesliga,2015-2016,Borussia Dortmund,Marco Reus,1,8 min 31 sec,98.6,28.4,24.34,16.54,11.6,Right Foot,direct,7,0.0692,0
e499d1dbb442087f30895e7a7893ced5,3890367,1. Bundesliga,2015-2016,Borussia Dortmund,İlkay Gündoğan,2,75 min 33 sec,97.3,36.9,22.91,19.64,3.1,Right Foot,direct,8,0.0767,0
5a3e795ede876f1f91925550d1374335,3890368,1. Bundesliga,2015-2016,Wolfsburg,Naldo,2,89 min 52 sec,84.8,37.4,35.3,12.9,2.6,Right Foot,direct,4,0.02,0
7fd129b1d15ec4f109d3668e0bfdbd62,3890369,1. Bundesliga,2015-2016,Bayern Munich,David Alaba,2,62 min 44 sec,87.1,45.4,33.34,13.51,5.4,Left Foot,direct,9,0.0253,0
1d1b777401cb898b1ac9c946394f8896,3890372,1. Bundesliga,2015-2016,VfB Stuttgart,Daniel Didavi,1,45 min 57 sec,99.5,47.9,21.97,19.36,7.9,Left Foot,direct,20,0.0841,0
1875c301b2a82a4330821da039f72b1e,3890372,1. Bundesliga,2015-2016,VfB Stuttgart,Daniel Didavi,1,12 min 34 sec,87.8,35.4,32.53,13.89,4.6,Left Foot,direct,20,0.0287,0
e3dad0f4816d442d9383075f39d335e0,3890373,1. Bundesliga,2015-2016,Hannover 96,Miiko Albornoz,2,57 min 9 sec,96.7,53.5,26.93,14.73,13.5,Left Foot,direct,2,0.0498,0
dcbaf994b192a4cf9cb2b5c85d9bafd8,3890373,1. Bundesliga,2015-2016,Borussia Mönchengladbach,Raffael,1,44 min 12 sec,89.5,33.5,31.18,14.31,6.5,Right Foot,direct,8,0.0343,0
62891c8b1a416005b4115578e6bb64fc,3890373,1. Bundesliga,2015-2016,Borussia Mönchengladbach,Mahmoud Dahoud,1,17 min 11 sec,77.9,44.8,42.37,10.72,4.8,Right Foot,direct,1,0.0068,0
300cfb90f1048b07a8177e59d4ab469f,3890374,1. Bundesliga,2015-2016,Darmstadt 98,Konstantin Rausch,2,72 min 52 sec,91.1,52.0,31.29,13.5,12.0,Left Foot,direct,11,0.0342,0
679ec0911039d2d4b20c91da1f60f042,3890374,1. Bundesliga,2015-2016,Ingolstadt,Pascal Groß,1,32 min 28 sec,91.6,44.1,28.69,15.72,4.1,Right Foot,direct,11,0.0522,0
de5390ed40e20a24599dddec4020abe5,3890374,1. Bundesliga,2015-2016,Ingolstadt,Markus Suttner,1,4 min 2 sec,85.9,48.1,35.05,12.68,8.1,Left Foot,direct,5,0.0125,0
1c36fb4e8ff484a70b77aab244dba839,3890376,1. Bundesliga,2015-2016,Darmstadt 98,Tobias Kempe,2,62 min 59 sec,97.1,59.5,30.08,11.65,19.5,Right Foot,direct,7,0.0108,0
19b9cc862947e54910a284ac5ff5281c,3890379,1. Bundesliga,2015-2016,Hamburger SV,Michael Gregoritsch,1,25 min 57 sec,82.2,46.6,38.37,11.73,6.6,Left Foot,direct,11,0.0077,1
6e4574c2ca80f54d322c644bedc8e24c,3890379,1. Bundesliga,2015-2016,Werder Bremen,Zlatko Junuzović,1,38 min 1 sec,95.7,24.4,28.88,13.37,15.6,Right Foot,direct,13,0.0378,0
6d4e6668a43a96d0ddcc5de3685c4293,3890380,1. Bundesliga,2015-2016,Ingolstadt,Pascal Groß,1,9 min 15 sec,78.1,76.7,55.7,6.2,36.7,Right Foot,direct,11,0.0042,0
1676840c6cc03a9c19b825ae24d36e9b,3890381,1. Bundesliga,2015-2016,FSV Mainz 05,Jairo Samperio,2,85 min 59 sec,92.4,35.2,28.01,16.02,4.8,Right Foot,direct,2,0.059,0
